Commit Hash,Author,Date,Message
293325e,ajay varma,2026-06-29,now updated averagerevenuechart logic to display true value
a6cb713,ajay varma,2026-06-29,average revenue calculation logic is updated that now it will consider empty revenue months as zero
09130e1,ajay varma,2026-06-29, now attendance testing module will verify multiple Ips for single location and updated expected vs actual revenue in section for mobile responsiveness in admin revenue page
ab4586e,ajay varma,2026-06-27,Separated mobile and desktop Team Members rendering logic. Added explicit CSS rules to hide mobile swipe components on desktop.
258a757,ajay varma,2026-06-26,Improve mobile responsiveness and admin UI layouts
114997a,ajay varma,2026-06-26,trying to implement wifi,location verification attendence system and fixing element by element in mobile UI
7eaf8f5,ajay varma,2026-06-24,updated responsiveness throughout the project
469b352,ajay varma,2026-06-24,now wdit button will take us to write review page
a4623c1,ajay varma,2026-06-24,restricted audit logs
b76af25,ajay varma,2026-06-24,bug fixing completed for reviews page
431b3e8,ajay varma,2026-06-24,bug fixing
d127da0,ajay varma,2026-06-24,added toggle to control pasting in reviews
f129b8d,ajay varma,2026-06-24, we have added dropdown for selecting writeup
5e0dc97,ajay varma,2026-06-24, displaying pen name in admin review approvals page
bcca18b,ajay varma,2026-06-24,added pen name for writing review
9528303,ajay varma,2026-06-23,feat: upgrade review system with social media targeting, editing, and admin deletions
4e830f1,ajay varma,2026-06-23,updated review page name events -> review writeups reviews -> review approvals
485546f,ajay varma,2026-06-23,Replace mobile menu with a right-side drawer. Fix Team Hub member list responsiveness. Optimize Revenue timeframe tabs for mobile. Eliminate website overflow and layout shifting. Fix Revenue History search and filter alignment. Add responsive scrolling to leaderboard tables. Fix Team Analytics overflow issues. Align Member Contribution chart and filters. Correct Revenue Logs filtering logic. Improve DIS Reports visibility in Light Theme. Simplify Monthly Target assignment. Add Apple-style responsive target cards
38a3cb3,ajay varma,2026-06-22,added realtime listening socket to block access for accounts
222045a,ajay varma,2026-06-22,updated AI analytics page and login page
320fc0a,ajay varma,2026-06-22,feat: enhance team analytics and admin team views with average revenue grids
26e4ee6,ajay varma,2026-06-22,UI updates in admin page
4ce8d0c,ajay varma,2026-06-20,updated UI in admin review user review card was precisely crafted with best UI possible every element is placed precisely
c87ae40,ajay varma,2026-06-20,Redesigned the review card with a compact rounded layout, improved content hierarchy, status badge, team indicator, event details, and attachment icon to provide a cleaner and more responsive user experience.
f04fc3b,ajay varma,2026-06-20,implemented Card Header Highlight,Filter Bar Ordering
de632ac,ajay varma,2026-06-20,User Name aligned to the left, Team Name badge on the right. Event Name aligned to the left, Status badge on the right.The context snippet is now displayed more prominently if media is attached, it simply displays a clean, modern Image Icon
cbb901e,ajay varma,2026-06-20,The badge is now aligned cleanly on the right side and overlapping button style has been completely removed. It now displays a clean, single badge aligned on the right with the colors
16f55f0,ajay varma,2026-06-20,implemented User Reviews Tabs,Admin Grid & Modal Layout,Pop-up View
28335a4,ajay varma,2026-06-20,updated admin review frontend
05e9dd9,ajay varma,2026-06-20,updated some changes
